Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	cmh_window_geomean_sigonly_forseqmonk
ChrChromosome_8:9560000-9570000	Chromosome_8	9560000	9570000		NaN	TCALIF_10275	TCALIF_10275	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9600000-9610000	Chromosome_8	9600000	9610000		NaN	TCALIF_17238	TCALIF_17238	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9630000-9640000	Chromosome_8	9630000	9640000		NaN	TCALIF_10280	TCALIF_10280	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9680000-9690000	Chromosome_8	9680000	9690000		NaN	TCALIF_10281	TCALIF_10281	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9720000-9730000	Chromosome_8	9720000	9730000		NaN	TCALIF_10283	TCALIF_10283	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9740000-9750000	Chromosome_8	9740000	9750000		NaN	TCALIF_10287	TCALIF_10287	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9750000-9760000	Chromosome_8	9750000	9760000		NaN	TCALIF_10288	TCALIF_10288	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9760000-9770000	Chromosome_8	9760000	9770000		NaN	TCALIF_06657	TCALIF_06657	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9770000-9780000	Chromosome_8	9770000	9780000		NaN	TCALIF_06657	TCALIF_06657	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9780000-9790000	Chromosome_8	9780000	9790000		NaN	TCALIF_06659	TCALIF_06659	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9800000-9810000	Chromosome_8	9800000	9810000		NaN	TCALIF_06660	TCALIF_06660	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9810000-9820000	Chromosome_8	9810000	9820000		NaN	TCALIF_06660	TCALIF_06660	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9830000-9840000	Chromosome_8	9830000	9840000		NaN	TCALIF_06663	TCALIF_06663	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9850000-9860000	Chromosome_8	9850000	9860000		NaN	TCALIF_15000	TCALIF_15000	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9860000-9870000	Chromosome_8	9860000	9870000		NaN	TCALIF_15000	TCALIF_15000	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9890000-9900000	Chromosome_8	9890000	9900000		NaN	TCALIF_06666	TCALIF_06666	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9900000-9910000	Chromosome_8	9900000	9910000		NaN	TCALIF_06668	TCALIF_06668	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9910000-9920000	Chromosome_8	9910000	9920000		NaN	TCALIF_16291	TCALIF_16291	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9950000-9960000	Chromosome_8	9950000	9960000		NaN	TCALIF_16349	TCALIF_16349	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9960000-9970000	Chromosome_8	9960000	9970000		NaN	TCALIF_06672	TCALIF_06672	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9970000-9980000	Chromosome_8	9970000	9980000		NaN	TCALIF_06674	TCALIF_06674	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9980000-9990000	Chromosome_8	9980000	9990000		NaN	TCALIF_06674	TCALIF_06674	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10000000-10010000	Chromosome_8	10000000	10010000		NaN	TCALIF_06676	TCALIF_06676	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10010000-10020000	Chromosome_8	10010000	10020000		NaN	TCALIF_06678	TCALIF_06678	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10020000-10030000	Chromosome_8	10020000	10030000		NaN	TCALIF_17166	TCALIF_17166	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10030000-10040000	Chromosome_8	10030000	10040000		NaN	TCALIF_06680	TCALIF_06680	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10040000-10050000	Chromosome_8	10040000	10050000		NaN	TCALIF_06680	TCALIF_06680	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10050000-10060000	Chromosome_8	10050000	10060000		NaN	TCALIF_16295	TCALIF_16295	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10060000-10070000	Chromosome_8	10060000	10070000		NaN	TCALIF_06683	TCALIF_06683	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10080000-10090000	Chromosome_8	10080000	10090000		NaN	TCALIF_06683	TCALIF_06683	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:10090000-10100000	Chromosome_8	10090000	10100000		NaN	TCALIF_06685	TCALIF_06685	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10100000-10110000	Chromosome_8	10100000	10110000		NaN	TCALIF_13789	TCALIF_13789	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10110000-10120000	Chromosome_8	10110000	10120000		NaN	TCALIF_17168	TCALIF_17168	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10130000-10140000	Chromosome_8	10130000	10140000		NaN	TCALIF_13447	TCALIF_13447	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:10140000-10150000	Chromosome_8	10140000	10150000		NaN	TCALIF_14915	TCALIF_14915	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:260000-270000	Chromosome_9	260000	270000		NaN	TCALIF_16367	TCALIF_16367	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4600000-4610000	Chromosome_9	4600000	4610000		NaN	TCALIF_04866	TCALIF_04866	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4650000-4660000	Chromosome_9	4650000	4660000		NaN	TCALIF_04869	TCALIF_04869	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4670000-4680000	Chromosome_9	4670000	4680000		NaN	TCALIF_04869	TCALIF_04869	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4680000-4690000	Chromosome_9	4680000	4690000		NaN	TCALIF_04872	TCALIF_04872	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4690000-4700000	Chromosome_9	4690000	4700000		NaN	TCALIF_04872	TCALIF_04872	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4700000-4710000	Chromosome_9	4700000	4710000		NaN	TCALIF_15045	TCALIF_15045	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4710000-4720000	Chromosome_9	4710000	4720000		NaN	TCALIF_04874	TCALIF_04874	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4730000-4740000	Chromosome_9	4730000	4740000		NaN	TCALIF_04882	TCALIF_04882	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:4750000-4760000	Chromosome_9	4750000	4760000		NaN	TCALIF_04883	TCALIF_04883	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4830000-4840000	Chromosome_9	4830000	4840000		NaN	TCALIF_04888	TCALIF_04888	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4850000-4860000	Chromosome_9	4850000	4860000		NaN	TCALIF_13986	TCALIF_13986	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:4890000-4900000	Chromosome_9	4890000	4900000		NaN	TCALIF_10289	TCALIF_10289	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:4900000-4910000	Chromosome_9	4900000	4910000		NaN	TCALIF_10290	TCALIF_10290	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:5090000-5100000	Chromosome_9	5090000	5100000		NaN	TCALIF_07532	TCALIF_07532	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:5100000-5110000	Chromosome_9	5100000	5110000		NaN	TCALIF_07532	TCALIF_07532	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:5170000-5180000	Chromosome_9	5170000	5180000		NaN	TCALIF_17315	TCALIF_17315	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:5180000-5190000	Chromosome_9	5180000	5190000		NaN	TCALIF_17316	TCALIF_17316	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:5330000-5340000	Chromosome_9	5330000	5340000		NaN	TCALIF_07521	TCALIF_07521	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:9770000-9780000	Chromosome_9	9770000	9780000		NaN	TCALIF_02793	TCALIF_02793	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:10040000-10050000	Chromosome_9	10040000	10050000		NaN	TCALIF_02822	TCALIF_02822	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:13180000-13190000	Chromosome_9	13180000	13190000		NaN	TCALIF_09644	TCALIF_09644	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:13760000-13770000	Chromosome_9	13760000	13770000		NaN	TCALIF_10066	TCALIF_10066	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:13780000-13790000	Chromosome_9	13780000	13790000		NaN	TCALIF_15019	TCALIF_15019	No description	-	CDS	overlapping	0	1.0
ChrChromosome_9:13920000-13930000	Chromosome_9	13920000	13930000		NaN	TCALIF_10061	TCALIF_10061	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:14060000-14070000	Chromosome_9	14060000	14070000		NaN	TCALIF_17273	TCALIF_17273	No description	+	CDS	overlapping	0	1.0
ChrChromosome_9:14700000-14710000	Chromosome_9	14700000	14710000		NaN	TCALIF_11626.2	TCALIF_11626.2	No description	-	CDS	overlapping	0	1.0
